sqlite-O0-x64.mv.db,/Users/landen/Research/bsim/bins/sqlite/sqlite3-O3.o-x64,0.0,0.9
sqlite3_status64,sqlite3AbsInt32,0.12689857654343892,3.9422489506582825
sqlite3_status64,sqlite3ResolvePartIdxLabel,0.12250389367997723,3.473866038301657
sqlite3_status64,sqlite3IsNaN,0.11811232178291828,3.593909814887359
sqlite3_status64,sqlite3ApiExit,0.11476242392611506,3.2904969892344553
sqlite3_status64,sqlite3Error,0.11250719764472565,2.855995681618571
sqlite3_mutex_enter,releasePage,0.32751711372052683,7.291217324635885
sqlite3_mutex_enter,sqlite3PagerUnref,0.32751711372052683,7.291217324635885
sqlite3_mutex_enter,sqlite3BackupUpdate,0.32751711372052683,7.291217324635885
sqlite3_mutex_enter,sqlite3DbFree,0.32751711372052683,7.291217324635885
sqlite3_mutex_enter,sqlite3ExprDelete,0.32751711372052683,7.291217324635885
sqlite3_mutex_leave,releasePage,0.32751711372052683,7.291217324635885
sqlite3_mutex_leave,sqlite3PagerUnref,0.32751711372052683,7.291217324635885
sqlite3_mutex_leave,sqlite3BackupUpdate,0.32751711372052683,7.291217324635885
sqlite3_mutex_leave,sqlite3DbFree,0.32751711372052683,7.291217324635885
sqlite3_mutex_leave,sqlite3ExprDelete,0.32751711372052683,7.291217324635885
sqlite3_status,sqlite3ApiExit,0.15180944680137137,4.732921615284861
sqlite3_status,sqlite3Error,0.14882619982490405,4.297051174711809
sqlite3_status,sqlite3AbsInt32,0.12288972947415158,3.693432908566674
sqlite3_status,analyzeFilterKeyword,0.11983544582291757,3.4195251262401603
sqlite3_status,isRealTable,0.11939844132861575,2.0062060681994653
sqlite3_db_status,sqlite3_db_status,0.28043785718209946,56.17389372583716
sqlite3_msize,releasePage,0.28660114526819963,6.990053785737115
sqlite3_msize,sqlite3PagerUnref,0.28660114526819963,6.990053785737115
sqlite3_msize,sqlite3BackupUpdate,0.28660114526819963,6.990053785737115
sqlite3_msize,sqlite3DbFree,0.28660114526819963,6.990053785737115
sqlite3_msize,sqlite3ExprDelete,0.28660114526819963,6.990053785737115
sqlite3DeleteTrigger,sqlite3DeleteTrigger,0.4286245205714372,16.204892064527403
sqlite3DeleteTrigger,vdbeIncrFree,0.416493645882189,16.354072684260426
sqlite3DeleteTrigger,sqlite3ClearOnOrUsing,0.35515252508136747,11.999143803848359
sqlite3DeleteTrigger,whereInfoFree,0.348532517629141,12.19262173747986
sqlite3DeleteTrigger,sqlite3WindowDelete,0.3044894205399735,10.213560875982974
