rust-stdlib-v1.80.mv.db,/Users/landen/Research/bsim/bins/bat-O3,0.0,0.0
std::thread::current,std::panicking::default_hook,0.162,1.453
std::sys_common::thread_local_key::StaticKey::lazy_init,std::os::unix::net::stream::UnixStream::peer_cred,0.184,6.157
std::sys_common::thread_local_key::StaticKey::lazy_init,std::panicking::rust_panic,0.250,7.903
std::sys_common::thread_local_key::StaticKey::lazy_init,core::ptr::drop_in_place<std::thread::PanicGuard>,0.180,4.637
std::sys_common::thread_local_key::StaticKey::lazy_init,std::rt::lang_start_internal::{closure#0},0.180,4.637
std::sys_common::thread_local_key::StaticKey::lazy_init,std::sys_common::thread_local_key::StaticKey::lazy_init,1.000,61.279
std::sys_common::thread_local_dtor::register_dtor_fallback::run_dtors,core::ptr::drop_in_place<std::backtrace_rs::symbolize::gimli::stash::Stash>,0.144,1.734
std::sys_common::thread_local_dtor::register_dtor_fallback::run_dtors,core::ptr::drop_in_place<alloc::boxed::Box<[alloc::string::String]_alloc::alloc::Global>>,0.123,2.860
std::sys_common::thread_local_dtor::register_dtor_fallback::run_dtors,std::sys_common::thread_local_dtor::register_dtor_fallback::run_dtors,0.932,75.544
std::sys_common::thread_local_dtor::register_dtor_fallback::run_dtors,core::ptr::drop_in_place<std::backtrace::Capture>,0.113,1.999
std::sys_common::thread_local_dtor::register_dtor_fallback::run_dtors,core::ptr::drop_in_place<core::result::Result<addr2line::Lines_gimli::read::Error>>,0.136,0.962
std::sys_common::process::CommandEnv::set,std::sys_common::process::CommandEnv::remove,0.218,12.265
std::sys_common::process::CommandEnv::set,alloc::slice::hack::to_vec<u8_alloc::alloc::Global>,0.209,7.812
std::sys_common::process::CommandEnv::set,std::ffi::os_str::from<str>,0.209,7.812
std::sys_common::process::CommandEnv::set,std::sys::os_str::bytes::Slice::to_owned,0.209,7.812
std::sys_common::process::CommandEnv::set,std::sys_common::process::CommandEnv::set,0.562,41.413
std::sys_common::backtrace::print,std::backtrace::Backtrace::create,0.525,41.677
std::sys_common::backtrace::print,std::io::stdio::read_to_string,0.483,31.609
std::sys_common::backtrace::print,std::io::stdio::read_exact,0.489,31.828
std::sys_common::backtrace::print,std::io::stdio::read_buf_exact,0.489,31.828
std::sys_common::backtrace::print,std::sys_common::backtrace::print,1.000,74.826
std::sys_common::backtrace::output_filename,std::backtrace::Backtrace::frames,0.280,10.847
std::sys_common::backtrace::output_filename,std::sys_common::backtrace::output_filename,0.880,53.970
std::sys_common::backtrace::output_filename,std::sys_common::process::next,0.270,10.461
std::sys_common::backtrace::output_filename,std::panicking::default_hook::{closure#1},0.300,15.142
