/Users/landen/Research/bsim/bins/bat/arm/bat-O0,bat-O0.mv.db,0.0,0.9
"bat::input::Input::ordinary_file","_<core::iter::adapters::chain::Chain<A,B>as_core::iter::traits::iterator::Iterator>::next","0.9364719508798776","16.818115047509153"
"bat::input::Input::ordinary_file","core::iter::adapters::map::map_fold::_{{closure}}","0.9364719508798776","16.818115047509153"
"bat::input::Input::ordinary_file","core::iter::adapters::map::map_fold::_{{closure}}","0.9364719508798776","16.818115047509153"
"bat::input::Input::ordinary_file","core::iter::adapters::map::map_fold::_{{closure}}","0.9364719508798776","16.818115047509153"
"bat::input::Input::ordinary_file","core::iter::adapters::map::map_fold::_{{closure}}","0.9364719508798776","16.818115047509153"
"bat::input::Input::ordinary_file","regex_automata::util::search::_<impl_core::ops::index::Index<regex_automata::util::search::Span>for_str>::index","0.7539594295695274","14.732336632164166"
"bat::input::Input::ordinary_file","std::ffi::os_str::OsStr::eq_ignore_ascii_case","0.7114660427576177","14.542911460325442"
"bat::input::Input::ordinary_file","clap_builder::builder::command::Command::get_bin_name_fallback","0.6737405682695375","12.997643831303941"
"bat::input::Input::ordinary_file","clap_builder::builder::command::Command::find","0.6050893389024455","12.479921377036364"
"bat::input::Input::ordinary_file","std::fs::create_dir_all","0.5812998699184762","12.479921377036364"
"bat::input::Input::ordinary_file","walkdir::util::device_num","0.5765955703490481","12.676943890676384"
"bat::input::Input::ordinary_file","clap_builder::builder::command::Command::find_subcommand","0.5110021485220604","12.309050277952252"
"bat::input::Input::ordinary_file","clap_builder::builder::command::Command::find_subcommand","0.5110021485220604","12.309050277952252"
"bat::input::Input::ordinary_file","std::fs::File::open","0.5072507004307408","12.0657285068434"
"bat::input::Input::ordinary_file","std::fs::File::open","0.5072507004307408","12.0657285068434"
"bat::input::Input::ordinary_file","syntect::parsing::syntax_definition::MatchPattern::regex_with_refs","0.4937705648295502","10.926730942344662"
"bat::input::Input::ordinary_file","_<hashbrown::map::HashMap<K,V,S,A>as_core::clone::Clone>::clone","0.4746437769353263","11.397846859016099"
"bat::input::Input::ordinary_file","_<hashbrown::map::HashMap<K,V,S,A>as_core::clone::Clone>::clone","0.4746437769353263","11.397846859016099"
"bat::input::Input::ordinary_file","_<hashbrown::map::HashMap<K,V,S,A>as_core::clone::Clone>::clone","0.4746437769353263","11.397846859016099"
"bat::input::Input::ordinary_file","walkdir::util::device_num","0.47075082582183875","10.794671971683346"
"bat::input::Input::ordinary_file","core::clone::Clone::clone","0.4616897382688272","10.444434316236478"
"bat::input::Input::ordinary_file","globset::glob::char_to_escaped_literal","0.44942891429489823","10.551930286682268"
3 "bat::input::Input::with_name","bat::input::Input::with_name","1.0","24.373255061482762"
"bat::input::Input::with_name","_<core::result::Result<T,F>as_core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual","0.431170252847109","9.220708060020133"
"bat::input::Input::with_name","git2::panic::check::_{{closure}}","0.39802700302195543","10.662012471090417"
"bat::input::Input::with_name","_<regex_automata::meta::regex::Regex_as_core::clone::Clone>::clone","0.36802605673589833","10.81259026914179"
"bat::input::Input::with_name","quick_xml::reader::Reader<R>::from_reader","0.32682532683544746","8.210629538503943"
"bat::input::Input::with_name","clap_builder::util::flat_map::FlatMap<K,V>::contains_key","0.3109454674946116","9.997498735063651"
"bat::input::Input::with_name","core::iter::adapters::map::map_fold::_{{closure}}","0.30677570380044056","8.016360759334166"
"bat::input::Input::with_name","linked_hash_map::Node<K,V>::new","0.2894246265640157","7.498270526240717"
"bat::input::Input::with_name","core::array::drain::drain_array_with","0.2833582638485475","7.228587164529302"
"bat::input::Input::with_name","core::array::drain::drain_array_with","0.2833582638485475","7.228587164529302"
"bat::input::Input::with_name","core::array::drain::drain_array_with","0.2833582638485475","7.228587164529302"
"bat::input::Input::with_name","core::array::drain::drain_array_with","0.2833582638485475","7.228587164529302"
"bat::input::Input::with_name","once_cell::imp::OnceCell<T>::initialize","0.2749001036292323","6.840049606189749"
"bat::input::Input::with_name","once_cell::imp::OnceCell<T>::initialize","0.2749001036292323","6.840049606189749"
"bat::input::Input::with_name","once_cell::imp::OnceCell<T>::initialize","0.2749001036292323","6.840049606189749"
"bat::input::Input::with_name","once_cell::imp::OnceCell<T>::initialize","0.2749001036292323","6.840049606189749"
"bat::input::Input::with_name","once_cell::imp::OnceCell<T>::initialize","0.2749001036292323","6.840049606189749"
"bat::input::Input::with_name","core::iter::traits::iterator::Iterator::chain","0.27345436565383086","7.375084644598882"
"bat::input::Input::with_name","clap_builder::parser::matches::matched_arg::MatchedArg::all_val_groups_empty","0.27115104889967795","7.489263309409868"
"bat::input::Input::with_name","regex_syntax::ast::parse::ParserI<P>::unclosed_class_error","0.2672927590603511","9.718701863581835"
"bat::input::Input::with_name","core::iter::traits::iterator::Iterator::chain","0.2662480334039713","7.375084644598882"
"bat::input::Input::with_name","regex_automata::nfa::thompson::compiler::Compiler::add_capture_end","0.2613442013070457","7.6675240689134885"
"bat::input::Input::with_name","regex_automata::nfa::thompson::compiler::Compiler::add_empty","0.2613442013070457","7.6675240689134885"
"bat::input::Input::with_name","regex_automata::nfa::thompson::compiler::Compiler::add_fail","0.2613442013070457","7.6675240689134885"
"bat::input::Input::with_name","regex_automata::nfa::thompson::compiler::Compiler::add_match","0.2613442013070457","7.6675240689134885"
4 "bat::input::Input::with_name::_{{closure}}","FUN_001ba724","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&&&&&&clap_builder::builder::value_parser::_AutoValueParser<P>as_clap_builder::builder::value_parser::via_prelude::_ValueParserViaFactory>::value_parser","1.0","9.18110270091743"
